id,What is your gender?,What is your age?,What was the most important consideration for you in choosing this product?,Another question 1,Another question 2,Yet another question,Another quality,Another quality 2,Yet another quality
429,Genderqueer,56,Brand,somewhat likely,strongly disagree,not interested,Price,Design,Positive Reviews
430,Polygender,73,,,,,,,
431,Female,71,Brand,somewhat likely,strongly agree,very interested,Price,Design,Positive Reviews
432,Male,39,,,,,,,
433,Male,34,Brand,very likely,neutral,neutral,Price,Design,Positive Reviews
434,Polygender,46,Brand,somewhat unlikely,somewhat agree,neutral,Price,Design,Positive Reviews
435,Polygender,47,Brand,somewhat unlikely,strongly disagree,very interested,Price,Design,Positive Reviews
436,Agender,54,Brand,very likely,neutral,neutral,Price,Design,Positive Reviews
437,Male,17,,,,,,,
438,Male,31,Brand,very likely,neutral,very interested,Price,Design,Positive Reviews
439,Non-binary,75,,,,,,,
440,Genderqueer,44,Brand,somewhat likely,neutral,not interested,Price,Design,Positive Reviews
441,Female,19,,,,,,,
442,Genderqueer,54,Brand,somewhat likely,strongly disagree,neutral,Price,Design,Positive Reviews
443,Genderfluid,62,Brand,neutral,somewhat agree,not interested,Price,Design,Positive Reviews
444,Genderqueer,80,Brand,neutral,somewhat agree,very interested,Price,Design,Positive Reviews
445,Female,42,,,,,,,
446,Male,26,Brand,very likely,strongly disagree,very interested,Price,Design,Positive Reviews
447,Polygender,42,Brand,somewhat likely,neutral,neutral,Price,Design,Positive Reviews
448,Male,52,,,,,,,
449,Polygender,52,,,,,,,
450,Non-binary,48,Brand,very likely,strongly agree,somewhat interested,Price,Design,Positive Reviews
451,Non-binary,18,Brand,neutral,strongly disagree,not interested,Price,Design,Positive Reviews
452,Female,51,Brand,somewhat likely,neutral,very interested,Price,Design,Positive Reviews
453,Genderfluid,36,Brand,somewhat unlikely,strongly agree,somewhat interested,Price,Design,Positive Reviews
454,Agender,74,,,,,,,
455,Polygender,55,,,,,,,
456,Polygender,35,,,,,,,
457,Female,71,Brand,neutral,strongly disagree,neutral,Price,Design,Positive Reviews
458,Genderqueer,50,Brand,somewhat likely,neutral,neutral,Price,Design,Positive Reviews
459,Female,30,Brand,very unlikely,somewhat agree,not interested,Price,Design,Positive Reviews
460,Genderqueer,58,Brand,somewhat unlikely,somewhat disagree,not interested,Price,Design,Positive Reviews
461,Bigender,46,Brand,somewhat likely,neutral,very interested,Price,Design,Positive Reviews
462,Polygender,70,,,,,,,
463,Agender,77,Brand,very likely,strongly agree,somewhat interested,Price,Design,Positive Reviews
464,Bigender,19,Brand,very likely,somewhat disagree,neutral,Price,Design,Positive Reviews
465,Non-binary,33,Brand,somewhat likely,neutral,not interested,Price,Design,Positive Reviews
466,Genderfluid,80,Brand,somewhat likely,neutral,very interested,Price,Design,Positive Reviews
467,Bigender,23,Brand,very likely,neutral,not interested,Price,Design,Positive Reviews
468,Polygender,35,Brand,very likely,somewhat disagree,neutral,Price,Design,Positive Reviews
469,Genderfluid,38,,,,,,,
470,Non-binary,58,,,,,,,
471,Bigender,67,Brand,somewhat unlikely,strongly agree,somewhat interested,Price,Design,Positive Reviews
472,Non-binary,64,,,,,,,
473,Genderfluid,36,Brand,somewhat unlikely,somewhat disagree,neutral,Price,Design,Positive Reviews
474,Bigender,43,Brand,somewhat likely,neutral,somewhat interested,Price,Design,Positive Reviews
475,Genderqueer,44,,,,,,,
476,Male,26,Brand,very unlikely,neutral,not interested,Price,Design,Positive Reviews
477,Agender,17,,,,,,,
478,Genderqueer,24,Brand,very unlikely,somewhat agree,neutral,Price,Design,Positive Reviews
479,Male,67,Brand,neutral,strongly agree,not interested,Price,Design,Positive Reviews
480,Genderqueer,17,,,,,,,
481,Genderfluid,41,Brand,neutral,somewhat agree,neutral,Price,Design,Positive Reviews
482,Female,34,Brand,somewhat likely,somewhat disagree,very interested,Price,Design,Positive Reviews
483,Genderqueer,18,Brand,somewhat likely,somewhat disagree,somewhat interested,Price,Design,Positive Reviews
484,Genderfluid,57,Brand,very unlikely,strongly agree,neutral,Price,Design,Positive Reviews
485,Bigender,25,Brand,very unlikely,somewhat disagree,somewhat interested,Price,Design,Positive Reviews
486,Male,18,Brand,somewhat unlikely,somewhat agree,very interested,Price,Design,Positive Reviews
487,Genderfluid,71,,,,,,,
488,Polygender,43,,,,,,,
489,Female,43,Brand,neutral,strongly agree,not interested,Price,Design,Positive Reviews
490,Bigender,23,Brand,neutral,somewhat agree,very interested,Price,Design,Positive Reviews
491,Agender,44,Brand,very likely,strongly agree,very interested,Price,Design,Positive Reviews
492,Bigender,35,Brand,neutral,strongly agree,somewhat interested,Price,Design,Positive Reviews
493,Genderqueer,34,Brand,very unlikely,strongly disagree,neutral,Price,Design,Positive Reviews
494,Genderqueer,50,Brand,very likely,somewhat disagree,not interested,Price,Design,Positive Reviews
495,Non-binary,73,,,,,,,
496,Genderfluid,59,,,,,,,
497,Genderfluid,20,Brand,neutral,strongly disagree,not interested,Price,Design,Positive Reviews
498,Bigender,31,Brand,very likely,somewhat agree,neutral,Price,Design,Positive Reviews
499,Genderqueer,56,Brand,somewhat unlikely,strongly disagree,somewhat interested,Price,Design,Positive Reviews
500,Female,42,,,,,,,
501,Bigender,65,,,,,,,
502,Agender,43,Brand,somewhat likely,somewhat disagree,somewhat interested,Price,Design,Positive Reviews
503,Non-binary,65,Brand,very unlikely,somewhat disagree,very interested,Price,Design,Positive Reviews
504,Genderqueer,42,Brand,somewhat likely,somewhat disagree,neutral,Price,Design,Positive Reviews
505,Genderfluid,32,,,,,,,
506,Bigender,39,,,,,,,
507,Bigender,42,Brand,neutral,strongly agree,neutral,Price,Design,Positive Reviews
508,Non-binary,16,,,,,,,
509,Female,42,,,,,,,
510,Agender,16,Brand,very unlikely,neutral,somewhat interested,Price,Design,Positive Reviews
511,Female,79,Brand,very unlikely,somewhat agree,neutral,Price,Design,Positive Reviews
512,Genderqueer,66,Brand,very likely,strongly disagree,not interested,Price,Design,Positive Reviews
513,Polygender,61,Brand,somewhat unlikely,neutral,very interested,Price,Design,Positive Reviews
514,Non-binary,38,Brand,very unlikely,somewhat agree,very interested,Price,Design,Positive Reviews
515,Female,59,,,,,,,
516,Polygender,32,,,,,,,
517,Agender,61,Brand,very likely,neutral,very interested,Price,Design,Positive Reviews
518,Bigender,18,Brand,neutral,somewhat disagree,somewhat interested,Price,Design,Positive Reviews
519,Non-binary,39,,,,,,,
520,Female,29,Brand,very unlikely,somewhat agree,neutral,Price,Design,Positive Reviews
521,Female,43,Brand,somewhat unlikely,somewhat agree,neutral,Price,Design,Positive Reviews
522,Agender,52,,,,,,,
523,Genderfluid,78,,,,,,,
524,Genderqueer,63,,,,,,,
525,Genderqueer,71,,,,,,,
526,Genderfluid,80,,,,,,,
527,Agender,20,Brand,neutral,strongly agree,not interested,Price,Design,Positive Reviews
528,Genderqueer,74,,,,,,,
529,Male,70,Brand,neutral,neutral,neutral,Price,Design,Positive Reviews
530,Bigender,60,,,,,,,
531,Agender,43,Brand,very likely,strongly disagree,somewhat interested,Price,Design,Positive Reviews
532,Female,58,,,,,,,
533,Genderfluid,72,,,,,,,
534,Bigender,21,,,,,,,
535,Genderqueer,42,Brand,very unlikely,strongly agree,neutral,Price,Design,Positive Reviews
536,Genderfluid,36,,,,,,,
537,Female,60,Brand,somewhat unlikely,strongly disagree,very interested,Price,Design,Positive Reviews
538,Genderfluid,62,Brand,very likely,somewhat disagree,somewhat interested,Price,Design,Positive Reviews
539,Genderqueer,68,,,,,,,
540,Polygender,49,Brand,very likely,strongly agree,not interested,Price,Design,Positive Reviews
541,Bigender,40,,,,,,,
542,Male,57,Brand,very likely,neutral,not interested,Price,Design,Positive Reviews
543,Male,46,Brand,somewhat likely,strongly disagree,very interested,Price,Design,Positive Reviews
544,Bigender,17,Brand,very unlikely,neutral,neutral,Price,Design,Positive Reviews
545,Bigender,40,Brand,somewhat likely,strongly disagree,not interested,Price,Design,Positive Reviews
546,Genderfluid,36,,,,,,,
547,Male,42,,,,,,,
548,Non-binary,58,,,,,,,
549,Agender,71,,,,,,,
550,Agender,23,Brand,somewhat likely,neutral,neutral,Price,Design,Positive Reviews
551,Non-binary,26,Brand,somewhat likely,strongly agree,somewhat interested,Price,Design,Positive Reviews
552,Agender,37,,,,,,,
553,Non-binary,45,Brand,somewhat unlikely,somewhat disagree,very interested,Price,Design,Positive Reviews
554,Genderqueer,77,Brand,very unlikely,strongly disagree,very interested,Price,Design,Positive Reviews
555,Male,53,,,,,,,
556,Genderfluid,21,Brand,somewhat likely,somewhat disagree,somewhat interested,Price,Design,Positive Reviews
557,Polygender,30,Brand,very likely,somewhat disagree,somewhat interested,Price,Design,Positive Reviews
558,Agender,43,,,,,,,
559,Polygender,44,Brand,very likely,somewhat agree,very interested,Price,Design,Positive Reviews
560,Female,61,,,,,,,
561,Male,47,,,,,,,
562,Non-binary,44,Brand,very unlikely,neutral,neutral,Price,Design,Positive Reviews
563,Male,37,,,,,,,
564,Polygender,65,,,,,,,
565,Bigender,76,Brand,somewhat unlikely,strongly disagree,somewhat interested,Price,Design,Positive Reviews
566,Bigender,67,,,,,,,
567,Agender,43,,,,,,,
568,Female,27,Brand,neutral,neutral,not interested,Price,Design,Positive Reviews
569,Polygender,19,,,,,,,
570,Bigender,75,Brand,somewhat unlikely,somewhat agree,not interested,Price,Design,Positive Reviews
571,Agender,79,,,,,,,
572,Bigender,31,Brand,very likely,somewhat disagree,somewhat interested,Price,Design,Positive Reviews
573,Genderqueer,65,Brand,very unlikely,strongly disagree,very interested,Price,Design,Positive Reviews
574,Non-binary,24,Brand,neutral,somewhat disagree,somewhat interested,Price,Design,Positive Reviews
575,Agender,45,,,,,,,
576,Agender,78,Brand,somewhat likely,strongly disagree,very interested,Price,Design,Positive Reviews
577,Female,42,Brand,very unlikely,strongly disagree,neutral,Price,Design,Positive Reviews
578,Bigender,68,,,,,,,
579,Polygender,69,,,,,,,
580,Polygender,17,Brand,very unlikely,neutral,somewhat interested,Price,Design,Positive Reviews
581,Female,74,Brand,very unlikely,somewhat agree,not interested,Price,Design,Positive Reviews
582,Genderqueer,65,,,,,,,
583,Genderfluid,40,,,,,,,
584,Female,40,Brand,somewhat unlikely,somewhat agree,very interested,Price,Design,Positive Reviews
585,Non-binary,27,Brand,very unlikely,somewhat agree,neutral,Price,Design,Positive Reviews
586,Male,28,,,,,,,
587,Female,63,,,,,,,
588,Male,41,,,,,,,
589,Bigender,51,,,,,,,
590,Non-binary,57,,,,,,,
591,Polygender,69,Brand,somewhat unlikely,somewhat disagree,somewhat interested,Price,Design,Positive Reviews
592,Polygender,71,Brand,neutral,strongly agree,neutral,Price,Design,Positive Reviews
593,Female,77,,,,,,,
594,Male,66,,,,,,,
595,Female,45,Brand,very likely,somewhat disagree,not interested,Price,Design,Positive Reviews
596,Non-binary,37,,,,,,,
597,Genderfluid,21,Brand,very unlikely,strongly disagree,very interested,Price,Design,Positive Reviews
598,Non-binary,16,,,,,,,
599,Non-binary,18,Brand,neutral,strongly agree,somewhat interested,Price,Design,Positive Reviews
600,Polygender,47,Brand,somewhat likely,neutral,neutral,Price,Design,Positive Reviews
601,Genderfluid,74,Brand,neutral,somewhat agree,not interested,Price,Design,Positive Reviews
602,Genderfluid,68,Brand,somewhat unlikely,strongly disagree,neutral,Price,Design,Positive Reviews
603,Agender,39,Brand,neutral,somewhat agree,neutral,Price,Design,Positive Reviews
604,Non-binary,27,Brand,somewhat unlikely,somewhat disagree,not interested,Price,Design,Positive Reviews
605,Male,39,,,,,,,
606,Polygender,29,,,,,,,
607,Genderqueer,30,,,,,,,
608,Genderfluid,61,Brand,very unlikely,strongly agree,not interested,Price,Design,Positive Reviews
609,Genderfluid,18,,,,,,,
610,Genderfluid,41,Brand,somewhat likely,strongly disagree,very interested,Price,Design,Positive Reviews
611,Male,54,,,,,,,
612,Non-binary,30,Brand,somewhat unlikely,neutral,somewhat interested,Price,Design,Positive Reviews
613,Non-binary,28,Brand,very unlikely,strongly agree,very interested,Price,Design,Positive Reviews
614,Non-binary,51,,,,,,,
615,Bigender,47,,,,,,,
616,Male,60,,,,,,,
617,Genderfluid,47,Brand,very unlikely,neutral,not interested,Price,Design,Positive Reviews
618,Agender,73,Brand,neutral,strongly disagree,very interested,Price,Design,Positive Reviews
619,Polygender,37,,,,,,,
620,Polygender,52,Brand,neutral,somewhat disagree,neutral,Price,Design,Positive Reviews
621,Genderfluid,56,,,,,,,
622,Female,65,Brand,very likely,strongly agree,not interested,Price,Design,Positive Reviews
623,Non-binary,46,,,,,,,
624,Non-binary,56,Brand,somewhat likely,strongly disagree,not interested,Price,Design,Positive Reviews
625,Genderfluid,58,Brand,somewhat unlikely,somewhat disagree,very interested,Price,Design,Positive Reviews
626,Bigender,69,Brand,somewhat unlikely,strongly disagree,not interested,Price,Design,Positive Reviews
627,Non-binary,58,,,,,,,
628,Bigender,48,,,,,,,
629,Genderqueer,67,,,,,,,
630,Male,49,,,,,,,
631,Bigender,47,,,,,,,
632,Agender,45,Brand,neutral,strongly agree,somewhat interested,Price,Design,Positive Reviews
633,Polygender,44,,,,,,,
634,Genderqueer,38,,,,,,,
635,Bigender,34,Brand,neutral,somewhat disagree,not interested,Price,Design,Positive Reviews
636,Female,74,,,,,,,
637,Agender,67,,,,,,,
638,Non-binary,72,Brand,very unlikely,strongly agree,very interested,Price,Design,Positive Reviews
639,Bigender,48,Brand,very likely,somewhat agree,neutral,Price,Design,Positive Reviews
640,Genderqueer,35,Brand,neutral,somewhat agree,somewhat interested,Price,Design,Positive Reviews
641,Female,21,Brand,somewhat unlikely,strongly disagree,somewhat interested,Price,Design,Positive Reviews
642,Agender,25,,,,,,,
643,Non-binary,22,Brand,somewhat likely,neutral,very interested,Price,Design,Positive Reviews
644,Male,60,Brand,neutral,somewhat agree,neutral,Price,Design,Positive Reviews
645,Female,21,Brand,very likely,strongly agree,very interested,Price,Design,Positive Reviews
646,Female,21,Brand,somewhat likely,strongly disagree,very interested,Price,Design,Positive Reviews
647,Bigender,30,Brand,somewhat likely,somewhat disagree,very interested,Price,Design,Positive Reviews
648,Agender,48,,,,,,,
649,Bigender,61,Brand,somewhat unlikely,somewhat disagree,somewhat interested,Price,Design,Positive Reviews
650,Non-binary,44,Brand,very unlikely,strongly disagree,somewhat interested,Price,Design,Positive Reviews
651,Male,28,Brand,very likely,somewhat agree,not interested,Price,Design,Positive Reviews
652,Agender,24,,,,,,,
653,Genderqueer,60,,,,,,,
654,Genderqueer,60,,,,,,,
655,Bigender,31,Brand,neutral,neutral,not interested,Price,Design,Positive Reviews
656,Female,18,,,,,,,
657,Female,56,Brand,somewhat unlikely,neutral,not interested,Price,Design,Positive Reviews
658,Agender,32,Brand,somewhat likely,strongly agree,very interested,Price,Design,Positive Reviews
659,Genderqueer,49,,,,,,,
660,Polygender,49,Brand,very likely,neutral,somewhat interested,Price,Design,Positive Reviews
661,Non-binary,38,,,,,,,
662,Genderqueer,17,,,,,,,
663,Agender,61,Brand,somewhat likely,somewhat disagree,somewhat interested,Price,Design,Positive Reviews
664,Genderqueer,43,Brand,very likely,strongly agree,very interested,Price,Design,Positive Reviews
665,Agender,67,Brand,very likely,somewhat agree,very interested,Price,Design,Positive Reviews
666,Male,31,,,,,,,
667,Polygender,47,Brand,very unlikely,somewhat disagree,somewhat interested,Price,Design,Positive Reviews
668,Bigender,70,,,,,,,
669,Non-binary,64,Brand,very likely,neutral,not interested,Price,Design,Positive Reviews
670,Genderfluid,25,Brand,somewhat unlikely,somewhat disagree,neutral,Price,Design,Positive Reviews
671,Non-binary,38,Brand,very unlikely,somewhat disagree,not interested,Price,Design,Positive Reviews
672,Genderfluid,57,Brand,somewhat likely,somewhat disagree,somewhat interested,Price,Design,Positive Reviews
673,Genderqueer,48,Brand,neutral,strongly agree,very interested,Price,Design,Positive Reviews
674,Genderfluid,69,,,,,,,
675,Female,30,Brand,very likely,strongly agree,not interested,Price,Design,Positive Reviews
676,Non-binary,74,Brand,very unlikely,strongly disagree,very interested,Price,Design,Positive Reviews
677,Genderqueer,32,,,,,,,
678,Agender,43,,,,,,,
679,Genderfluid,34,Brand,somewhat likely,somewhat agree,neutral,Price,Design,Positive Reviews
680,Female,57,Brand,very unlikely,strongly disagree,somewhat interested,Price,Design,Positive Reviews
681,Bigender,68,Brand,very unlikely,strongly agree,not interested,Price,Design,Positive Reviews
682,Genderfluid,24,,,,,,,
683,Genderqueer,71,,,,,,,
684,Genderfluid,49,Brand,neutral,neutral,not interested,Price,Design,Positive Reviews
685,Polygender,47,Brand,very likely,strongly disagree,neutral,Price,Design,Positive Reviews
686,Female,27,Brand,neutral,neutral,neutral,Price,Design,Positive Reviews
687,Non-binary,67,Brand,neutral,strongly agree,not interested,Price,Design,Positive Reviews
688,Bigender,80,Brand,neutral,strongly agree,somewhat interested,Price,Design,Positive Reviews
689,Genderfluid,67,Brand,neutral,neutral,somewhat interested,Price,Design,Positive Reviews
690,Genderqueer,19,,,,,,,
691,Genderfluid,73,Brand,neutral,strongly disagree,not interested,Price,Design,Positive Reviews
692,Polygender,68,Brand,very likely,somewhat agree,not interested,Price,Design,Positive Reviews
693,Non-binary,16,Brand,very unlikely,neutral,somewhat interested,Price,Design,Positive Reviews
694,Genderqueer,36,,,,,,,
695,Bigender,64,,,,,,,
696,Genderfluid,80,,,,,,,
697,Non-binary,32,Brand,very unlikely,neutral,not interested,Price,Design,Positive Reviews
698,Non-binary,55,Brand,somewhat unlikely,neutral,not interested,Price,Design,Positive Reviews
699,Polygender,67,Brand,neutral,strongly agree,neutral,Price,Design,Positive Reviews
700,Genderfluid,55,,,,,,,
701,Genderqueer,31,,,,,,,
702,Genderqueer,40,,,,,,,
703,Genderfluid,66,,,,,,,
704,Polygender,69,,,,,,,
705,Genderqueer,53,Brand,very unlikely,somewhat disagree,somewhat interested,Price,Design,Positive Reviews
706,Polygender,69,,,,,,,
707,Male,48,Brand,somewhat likely,somewhat agree,not interested,Price,Design,Positive Reviews
708,Polygender,40,,,,,,,
709,Female,74,Brand,somewhat likely,strongly agree,not interested,Price,Design,Positive Reviews
710,Non-binary,62,Brand,very likely,neutral,very interested,Price,Design,Positive Reviews
711,Female,38,,,,,,,
712,Bigender,76,Brand,very unlikely,strongly agree,not interested,Price,Design,Positive Reviews
713,Genderfluid,47,Brand,very unlikely,somewhat agree,not interested,Price,Design,Positive Reviews
714,Male,57,Brand,somewhat unlikely,neutral,neutral,Price,Design,Positive Reviews
715,Genderqueer,71,Brand,somewhat unlikely,strongly agree,very interested,Price,Design,Positive Reviews
716,Agender,58,Brand,very likely,strongly disagree,not interested,Price,Design,Positive Reviews
717,Genderqueer,56,,,,,,,
718,Male,59,Brand,very unlikely,somewhat disagree,neutral,Price,Design,Positive Reviews
719,Female,19,,,,,,,
720,Male,21,Brand,very unlikely,somewhat disagree,somewhat interested,Price,Design,Positive Reviews
721,Agender,75,,,,,,,
722,Male,42,Brand,neutral,strongly disagree,not interested,Price,Design,Positive Reviews
723,Polygender,67,,,,,,,
724,Male,40,Brand,very likely,strongly agree,not interested,Price,Design,Positive Reviews
725,Polygender,18,,,,,,,
726,Genderqueer,42,Brand,very likely,somewhat agree,not interested,Price,Design,Positive Reviews
727,Polygender,70,Brand,somewhat unlikely,somewhat disagree,very interested,Price,Design,Positive Reviews
728,Genderfluid,33,Brand,somewhat likely,somewhat agree,neutral,Price,Design,Positive Reviews
729,Male,66,,,,,,,
730,Non-binary,29,,,,,,,
731,Male,47,,,,,,,
732,Non-binary,62,,,,,,,
733,Agender,31,,,,,,,
734,Bigender,25,Brand,neutral,somewhat disagree,neutral,Price,Design,Positive Reviews
735,Bigender,69,Brand,very likely,somewhat agree,neutral,Price,Design,Positive Reviews
736,Female,58,Brand,very likely,strongly agree,somewhat interested,Price,Design,Positive Reviews
737,Female,59,,,,,,,
738,Agender,45,Brand,very likely,strongly disagree,very interested,Price,Design,Positive Reviews
739,Polygender,71,Brand,neutral,neutral,not interested,Price,Design,Positive Reviews
740,Male,56,,,,,,,
741,Female,34,Brand,somewhat unlikely,neutral,very interested,Price,Design,Positive Reviews
742,Non-binary,46,,,,,,,
743,Polygender,35,Brand,somewhat unlikely,strongly disagree,somewhat interested,Price,Design,Positive Reviews
744,Bigender,59,Brand,very likely,somewhat agree,neutral,Price,Design,Positive Reviews
745,Agender,37,,,,,,,
746,Non-binary,27,,,,,,,
747,Female,26,Brand,very likely,strongly disagree,somewhat interested,Price,Design,Positive Reviews
748,Genderqueer,24,Brand,neutral,neutral,somewhat interested,Price,Design,Positive Reviews
749,Non-binary,57,Brand,somewhat likely,strongly disagree,very interested,Price,Design,Positive Reviews
750,Genderqueer,18,Brand,somewhat unlikely,neutral,neutral,Price,Design,Positive Reviews
751,Non-binary,43,Brand,very unlikely,somewhat disagree,neutral,Price,Design,Positive Reviews
752,Agender,62,Brand,very likely,strongly agree,somewhat interested,Price,Design,Positive Reviews
753,Agender,52,Brand,somewhat unlikely,neutral,somewhat interested,Price,Design,Positive Reviews
754,Female,28,,,,,,,
755,Genderqueer,30,,,,,,,
756,Male,68,Brand,somewhat likely,strongly disagree,very interested,Price,Design,Positive Reviews
757,Genderfluid,37,Brand,somewhat likely,neutral,neutral,Price,Design,Positive Reviews
758,Genderfluid,74,Brand,very unlikely,somewhat disagree,somewhat interested,Price,Design,Positive Reviews
759,Polygender,60,Brand,somewhat unlikely,somewhat agree,very interested,Price,Design,Positive Reviews
760,Female,51,Brand,very likely,somewhat disagree,neutral,Price,Design,Positive Reviews
761,Genderfluid,38,,,,,,,
762,Genderqueer,46,,,,,,,
763,Agender,59,Brand,somewhat unlikely,neutral,neutral,Price,Design,Positive Reviews
764,Non-binary,69,,,,,,,
765,Female,70,Brand,somewhat likely,strongly disagree,somewhat interested,Price,Design,Positive Reviews
766,Genderqueer,46,,,,,,,
767,Non-binary,51,,,,,,,
768,Female,68,Brand,very likely,neutral,very interested,Price,Design,Positive Reviews
769,Bigender,47,Brand,somewhat likely,strongly disagree,not interested,Price,Design,Positive Reviews
770,Genderqueer,62,Brand,somewhat unlikely,strongly disagree,not interested,Price,Design,Positive Reviews
771,Male,57,Brand,somewhat likely,strongly agree,neutral,Price,Design,Positive Reviews
772,Agender,21,Brand,somewhat likely,strongly agree,not interested,Price,Design,Positive Reviews
773,Genderfluid,69,,,,,,,
774,Non-binary,53,Brand,somewhat likely,somewhat agree,very interested,Price,Design,Positive Reviews
775,Polygender,24,Brand,neutral,strongly agree,somewhat interested,Price,Design,Positive Reviews
776,Genderfluid,65,Brand,very unlikely,neutral,very interested,Price,Design,Positive Reviews
777,Female,24,,,,,,,
778,Non-binary,40,,,,,,,
779,Agender,72,,,,,,,
780,Non-binary,41,,,,,,,
781,Male,48,Brand,neutral,somewhat disagree,somewhat interested,Price,Design,Positive Reviews
782,Genderqueer,76,,,,,,,
783,Non-binary,35,Brand,somewhat unlikely,neutral,neutral,Price,Design,Positive Reviews
784,Polygender,24,Brand,neutral,somewhat disagree,somewhat interested,Price,Design,Positive Reviews
785,Polygender,78,Brand,somewhat unlikely,somewhat disagree,not interested,Price,Design,Positive Reviews
786,Polygender,25,Brand,very likely,somewhat agree,somewhat interested,Price,Design,Positive Reviews
787,Agender,17,Brand,very unlikely,strongly agree,not interested,Price,Design,Positive Reviews
788,Bigender,23,,,,,,,
789,Genderqueer,49,Brand,very likely,somewhat agree,neutral,Price,Design,Positive Reviews
790,Agender,74,Brand,very unlikely,neutral,not interested,Price,Design,Positive Reviews
791,Polygender,54,,,,,,,
792,Polygender,60,,,,,,,
793,Agender,17,Brand,somewhat likely,somewhat disagree,not interested,Price,Design,Positive Reviews
794,Male,28,Brand,very unlikely,somewhat agree,neutral,Price,Design,Positive Reviews
795,Bigender,32,Brand,somewhat likely,neutral,neutral,Price,Design,Positive Reviews
796,Polygender,41,,,,,,,
797,Female,29,Brand,very unlikely,strongly disagree,somewhat interested,Price,Design,Positive Reviews
798,Female,34,,,,,,,
799,Female,25,,,,,,,
800,Genderqueer,66,,,,,,,
801,Female,52,Brand,somewhat unlikely,neutral,somewhat interested,Price,Design,Positive Reviews
802,Bigender,43,,,,,,,
803,Polygender,16,Brand,very likely,neutral,neutral,Price,Design,Positive Reviews
804,Female,36,Brand,very likely,somewhat agree,somewhat interested,Price,Design,Positive Reviews
805,Male,41,Brand,very likely,strongly agree,somewhat interested,Price,Design,Positive Reviews
806,Genderfluid,64,,,,,,,
807,Female,78,Brand,somewhat unlikely,strongly agree,neutral,Price,Design,Positive Reviews
808,Agender,41,Brand,somewhat unlikely,strongly disagree,somewhat interested,Price,Design,Positive Reviews
809,Non-binary,59,,,,,,,
810,Non-binary,39,,,,,,,
811,Agender,69,,,,,,,
812,Male,60,Brand,somewhat unlikely,neutral,somewhat interested,Price,Design,Positive Reviews
813,Genderqueer,48,Brand,somewhat unlikely,somewhat disagree,not interested,Price,Design,Positive Reviews
814,Male,23,Brand,somewhat likely,strongly agree,very interested,Price,Design,Positive Reviews
815,Non-binary,27,Brand,very unlikely,somewhat agree,very interested,Price,Design,Positive Reviews
816,Male,43,Brand,somewhat likely,strongly disagree,not interested,Price,Design,Positive Reviews
817,Agender,43,Brand,very unlikely,neutral,not interested,Price,Design,Positive Reviews
818,Female,34,Brand,somewhat likely,neutral,very interested,Price,Design,Positive Reviews
819,Bigender,57,Brand,neutral,somewhat agree,not interested,Price,Design,Positive Reviews
820,Genderfluid,77,Brand,neutral,strongly disagree,not interested,Price,Design,Positive Reviews
821,Polygender,16,,,,,,,
822,Polygender,58,Brand,very likely,somewhat disagree,not interested,Price,Design,Positive Reviews
823,Polygender,77,Brand,neutral,strongly disagree,not interested,Price,Design,Positive Reviews
824,Non-binary,50,,,,,,,
825,Agender,33,,,,,,,
826,Female,31,,,,,,,
827,Genderqueer,29,Brand,neutral,somewhat disagree,somewhat interested,Price,Design,Positive Reviews
828,Male,29,Brand,somewhat unlikely,neutral,neutral,Price,Design,Positive Reviews
829,Male,28,,,,,,,
830,Non-binary,47,Brand,very unlikely,somewhat agree,very interested,Price,Design,Positive Reviews
831,Polygender,20,Brand,somewhat unlikely,strongly agree,very interested,Price,Design,Positive Reviews
832,Non-binary,37,,,,,,,
833,Non-binary,43,,,,,,,
834,Agender,32,,,,,,,
835,Genderfluid,25,Brand,somewhat likely,strongly agree,very interested,Price,Design,Positive Reviews
836,Genderqueer,39,,,,,,,
837,Male,40,,,,,,,
838,Male,65,Brand,somewhat unlikely,neutral,somewhat interested,Price,Design,Positive Reviews
839,Male,75,,,,,,,
840,Genderqueer,68,,,,,,,
841,Male,63,Brand,neutral,somewhat agree,neutral,Price,Design,Positive Reviews
842,Genderqueer,46,Brand,somewhat likely,strongly agree,neutral,Price,Design,Positive Reviews
843,Male,25,,,,,,,
844,Male,75,Brand,very likely,strongly disagree,not interested,Price,Design,Positive Reviews
845,Bigender,31,Brand,very likely,neutral,neutral,Price,Design,Positive Reviews
846,Genderqueer,35,Brand,very unlikely,somewhat disagree,neutral,Price,Design,Positive Reviews
847,Female,65,Brand,very unlikely,neutral,very interested,Price,Design,Positive Reviews
848,Genderfluid,63,Brand,somewhat unlikely,somewhat disagree,very interested,Price,Design,Positive Reviews
849,Genderqueer,49,,,,,,,
850,Polygender,56,Brand,somewhat unlikely,somewhat agree,very interested,Price,Design,Positive Reviews
851,Non-binary,64,Brand,somewhat unlikely,strongly agree,not interested,Price,Design,Positive Reviews
852,Agender,70,Brand,somewhat unlikely,somewhat agree,very interested,Price,Design,Positive Reviews
853,Polygender,29,,,,,,,
854,Genderfluid,51,Brand,somewhat likely,somewhat disagree,very interested,Price,Design,Positive Reviews
855,Bigender,52,Brand,somewhat likely,neutral,neutral,Price,Design,Positive Reviews
856,Male,33,,,,,,,
857,Bigender,23,,,,,,,
